recipe_code,list_korean
195453,계란
195453,전분
195453,부침가루
195453,소금
195453,후추
195453,참기름
195453,밀가루
195453,배추
195453,호박
195453,대파
195453,다짐육
195453,콩비지
195453,다진마늘
195428,통깨
195428,마요네즈
195428,설탕
195428,식초
195428,두부
195428,소금
195428,참기름
195428,통깨
195428,김밥용김
195428,어린잎채소
195428,가지
195428,당근
195428,밥
195428,오이
180363,설탕
180363,통깨
180363,식초
180363,고추장
180363,소금
180363,쪽파
180363,중새우
180344,양파
180344,방울토마토
180344,밥
180344,물
180344,셀러리
180344,후추
180344,햄
180344,달걀
180344,카레가루
180330,식빵
180330,마요네즈
180330,꿀
180330,달걀노른자
180330,우유
180330,고구마
180330,소금
180330,건블루베리
120476,후추
120476,다진마늘
120476,들기름
120476,통깨
120476,소금
120476,버섯
120476,두부
120476,당면
120476,당근
120476,다짐육(소고기)
120476,다짐육(돼지고기)
120476,다진생강
120476,간장
120476,달걀
120476,미나리
120476,배추잎
120463,부침가루
120463,양파
120463,감자
120463,당근채
120463,당근잎
120463,소금
120441,고춧가루
120441,들기름
120441,설탕
120441,다진마늘
120441,무
120441,양파
120441,단호박
120441,간장
120441,된장
120441,고추장
120441,쌀뜨물
120441,고등어
120441,청양고추
120441,홍고추
120419,매실액
120419,통깨
120419,참기름
120419,고추
120419,라이스페이퍼
120419,연어살
120419,무채
120419,고사리
120419,도라지
120419,콩나물
120419,시금치
120401,애호박
120401,어린잎채소
120401,부침유
120401,간장
120401,맛술
120401,통깨
120401,다진마늘
120401,식초
120401,청양고추
120401,대파
120401,참기름
120401,올리브유
120379,양파
120379,단무지
120379,아몬드
120379,견과류
120379,마요네즈
120379,꿀
120379,허브솔트
120379,소금
120379,머드터드
120379,식초
120379,황설탕
120379,백오이
120379,참치캔
120379,삶은계란
120360,아몬드
120360,다진고추
120360,매실액
120360,굴소스
120360,다진식파
120360,에멘탈 치즈가루
120360,두부
120360,가지
120360,굴소스
120344,설탕
120344,통깨
120344,다진마늘
120344,고춧가루
120344,간장
120344,까나리액젓
120344,쪽파
120344,깻잎
120344,홍고추
91023,설탕
91023,물
91023,간장
91023,식초
91023,고추
